WELL NAME,Latitude DD,Longitude DD
71415,37.40626189,-120.7269782
1001N.WEAVER,37.290418,-120.4416725
2685E.CHILDS,37.28815578,-120.4381367
2901E.CHILDS,37.28837869,-120.4351901
2957E.CHILDS,37.28837578,-120.4342288
2985E.CHILDS,37.28833958,-120.433904
3160E.CHILDSEFF,37.28821478,-120.4305032
400N.WEAVER,37.28881619,-120.4408741
480N.WEAVER,37.28947658,-120.4408603
BZW-5,37.28690428,-120.5122178
BZW-6,37.28726219,-120.5113252
DPE1,37.2587355,-121.0005013
DPE2,37.25875778,-121.0004166
E-1,37.29228519,-120.4169134
INFLUENT,37.39591289,-120.7294378
MW-103,37.09779978,-120.9237255
MW-104,37.09753597,-120.923493
MW-10A,37.29493447,-120.4589743
MW-12B,37.05784678,-120.8415164
MW-12C,37.05785269,-120.8415125
MW-13A/B,37.05840419,-120.8399186
MW-13B,37.058401,-120.8399114
MW-13C,37.05840728,-120.8399263
MW-13D,37.39881228,-120.7389182
MW-19A,37.29482519,-120.4583876
MW-20,37.06565508,-120.8553723
MW-22,37.28583119,-120.5101895
MW-25,37.29149319,-120.4177417
MW-26,37.29457047,-120.4155956
MW-26B,37.0659585,-120.8544112
MW-26C,37.0659585,-120.8544112
MW-27,37.29457069,-120.4155577
MW-27B,37.06575339,-120.8539664
MW-27C,37.06575339,-120.8539664
MW-28,37.2929035,-120.4178778
MW-28B,37.06573169,-120.8538633
MW-28C,37.06573169,-120.8538633
MW-29,37.06568258,-120.8553423
MW-2D,37.06527758,-120.8518227
MW-30,37.06532319,-120.8550388
MW-31C,37.06553078,-120.8547569
MW-32B,37.06534847,-120.8544534
MW-32C,37.06534847,-120.8544534
MW-33C,37.06515928,-120.8540386
MW-36,37.06578489,-120.8549606
MW-37B,37.06577839,-120.8549435
MW-38,37.06558819,-120.8544854
MW-41B,37.06609478,-120.8536204
MW-41C,37.06609478,-120.8536204
MW-42B,37.06608939,-120.8533055
MW-42C,37.06608939,-120.8533055
MW-43B,37.06596939,-120.8530455
MW-43C,37.06596939,-120.8530455
MW-44B,37.06576378,-120.8528483
MW-44C,37.06576378,-120.8528483
MW-46A,37.29128397,-120.4246026
MW-4R,37.06489089,-120.8519935
MW-52,37.2884425,-120.4413445
MW-53,37.28729819,-120.433741
MW-54A,37.29139328,-120.4324467
MW-55,37.28796369,-120.4289926
MW-57D,37.28978928,-120.4298875
MW-5R,37.27831058,-120.6278709
MW-61A,37.29046628,-120.4324001
MW-62,37.291868,-120.4177822
MW-63,37.29239428,-120.4177735
MW-8A,37.29505497,-120.4586518
MW-9B,37.29493128,-120.4584679
MW-A,36.9859385,-120.6400738
MW-B,36.98535319,-120.6399478
MW-C,36.9856325,-120.63947
MW-D,36.98606069,-120.6402259
MW-E,36.98613558,-120.6398996
MW-G,36.98540739,-120.639375
MW-H,36.98604039,-120.6388666
MW-J,36.98605128,-120.6408499
MW-K,36.98585008,-120.6399426
MW-L,36.98568589,-120.6402651
MW-M,36.98581419,-120.6405409
MW-O,36.98485439,-120.6401191
MW-P,36.9850555,-120.6394107
MW-Q,36.98615919,-120.6400376
MW-R,36.98616258,-120.6406305
MW-S,36.98613719,-120.6412862
MW-T,36.98627497,-120.6409033
MW-U,36.98661958,-120.6409023
MW-V,36.98674519,-120.6405713
MW-W,36.98675678,-120.6398595
MW-X,36.98701239,-120.640898
MW-Y,36.98568858,-120.6389966
MW-Z,36.98615708,-120.6396626
MW3,37.25878322,-121.0001838
NW-2,36.98626408,-120.6398023
NW-3,36.98645239,-120.6396097
NW-4,36.9862905,-120.6394041
NW-5,36.98624869,-120.6392555
NW-7,36.98653947,-120.6407439
NW-8,36.98657708,-120.640396
OBS-10,37.25399419,-120.9968793
OBS-10B,37.25397839,-120.9968723
R-1A,37.40773878,-120.7296424
R-2A,37.39961558,-120.7404573
S43-D-1,37.3060085,-120.4915187
S43-D-2,37.30630022,-120.4899453
S43-I-1,37.30604142,-120.4914998
S43-I-2,37.30628986,-120.4899193
S45-D-1,37.295005,-120.4568329
S45-D-2,37.29582508,-120.4576837
S45-D-3,37.29456908,-120.4578751
S46-D-1,37.30597614,-120.4951292
S46-D-2,37.30662644,-120.4940992
S46-D-3,37.30550472,-120.4943944
S46-I-1,37.30601489,-120.4951083
S46-I-2,37.30660758,-120.4940494
S46-I-3,37.30545528,-120.494264
S47-D-1,37.30222047,-120.4846347
S47-D-2,37.30168203,-120.485976
S47-D-3,37.30240794,-120.4859521
S47-I-1,37.30226636,-120.4846085
S47-I-2,37.30167356,-120.4859483
S47-I-3,37.30238622,-120.485891
S5-9,37.29492689,-120.4584888
SVP-1,37.25329489,-120.997564
SVP-2,37.25348128,-120.9975561
SVP-4,37.25367958,-120.9971511
SVP-5,37.25349008,-120.9970766
U-4,37.30610078,-120.5010638
